STRING ID,DESCRIPTION,ENGLISH
LANGUAGE_NAME,Leave empty if it's a standard translation,
LANGUAGE_MAINTAINER,Name of the language file maintainer,Aragas
BEGIN,,
;Main Form;,,
mf_title,Window Title,Pokémon 3D Launcher
mf_button_play,News Tab,Play
mf_button_checkforupdates,News Tab,Check for Updates
mf_button_newprofile,News Tab,New Profile
mf_button_editprofile,News Tab,Edit Profile
mf_button_delete,News Tab,Delete Profile
mf_groupbox_common,Settings Tab,Common
mf_checkbox_checkforupdatesonstartup,Settings Tab,Check for game updates on startup
mf_label_language,Settings Tab,Language:
mf_groupbox_gamejolt,Settings Tab,GameJolt
mf_label_username,Settings Tab,Username:
mf_label_token,Settings Tab,Token:
mf_label_token_hint,Settings Tab,"This is your GameJolt Token, not your GameJolt Password! For more info, check the FAQ tab"
mf_checkbox_savecredentials,Settings Tab,Remember me
mf_checkbox_autologin,Settings Tab,Keep me logged in
mf_groupbox_network,Settings Tab,Network
mf_label_selecteddl,"Settings Tab
DL - Download Link",Selected DL:
mf_button_save,Settings Tab,Save
mf_textbox_credits,About Tab,"Launcher by {0}
Translation:
{1}"
mf_tabpage_news,Tab Name,News
mf_tabpage_logger,Tab Name,Logger
mf_tabpage_faq,Tab Name,FAQ
mf_tabpage_settings,Tab Name,Settings
mf_tabpage_about,Tab Name,About
;GameJolt Form;,,
gj_title,Window Title,You are not logged into GameJolt! 
gj_wtextbox_username,,Username
gj_wtextbox_token,,Token
gj_checkbox_autologin,,Keep me logged in
gj_checkbox_savecredentials,,Remember me
gj_label_questionchar,,?
gj_button_login,,Log In
gj_button_playoffline,,Play Offline
gj_button_signin,,Sign Up
;Profile Form;,,
pf_title,Window Title,Profile Editor
pf_groupbox_profileinfo,,Profile Info
pf_label_profilename,,Profile Name:
pf_label_version,,Version:
pf_groupbox_modifications,,Modifications
pf_button_cancel,,Cancel
pf_button_save,,Save
;ReleaseDownloader Form;,,
rd_title,Window Title,Downloader
rd_label_downloadprogress,,Download Progress:
rd_label_extractionprogress,,Extraction Progress:
;PerFileUpdater Form;,,
pfu_title,,Updater
pfu_label_updateinfoprogress,,Update Info Download Progress:
pfu_label_comparisonprogress,,Comparison Progress:
pfu_label_downloadprogress,,Download Progress:
;MessageBox;,,
DLNotSelected,,Can't update! Select a DL first in Settings tab!
DLNotSelectedTitle,,Error!
SomethingNotFoundError,,"Pokémon 3D requires {0}
Please visit {1} to download.
Would you like to open the webpage now?"
SomethingNotFoundErrorTitle,,Error!
DownloadError,,Failed to download a file. Please try again!
DownloadErrorTitle,,Error!
FileReplacementError,,There was an error while replacing the old files with the new ones!
FileReplacementErrorTitle,,Error!
LauncherUpdateAvailable,,"A new Launcher version is available!
Would you like to update?"
LauncherUpdateAvailableTitle,,Update is Available!
NoInternet,,Could not connect to GitHub! Is Internet connection available?
NoInternetTitle,,Update Check Error!
NotDownloaded,,"Profile '{0}' was not downloaded!
Would you like to download it?"
NotDownloadedTitle,,Not Downloaded!
NoUpdateNeeded,,The Profile doesn't need an update!
NoUpdateNeededTitle,,Done!
ProfileUpToDate,,Profile '{0}' is up to date!
ProfileUpToDateTitle,,Update Check
ToolTipSaveCredentials,,"Enable ""Remember Me"" first!"
UpdateAvailable,,Would you like to update the [{0}] version to [{1}]?
UpdateAvailableTitle,,Update is Available!
Updated,,The Profile was successfully updated!
UpdateDisabled,,"Update is disabled! Please download the new version, don't use updating."
UpdateDisabledTitle,,Error!
UpdatedTitle,,Success!
END,,
